;;;;;;;;;;
NO;F˜ž/FATURA ADI;TAR˜H;TUTAR;KDV;GEN.TOP.;HARCAMA;HARCAMA C˜NS˜;A€IKLAMA;D™NEM;D™KšLEN BETON
115;BS METAL GRUP;18.04.2019;45,00   ;8,10   ;53,10   ;MALZEME;HIRDAVAT;BORU ANAHTARI 2 AD, DEL˜C˜ UC 1 AD;Nis.19;
116;SAK KABLO;18.04.2019;361,02   ;64,98   ;426,00   ;MALZEME;ELEKTR˜K MALZEME;100 MT 4X4 TTR KABLO;Nis.19;
117;GEORG˜A BANK;17.04.2019;10,00   ;0,00   ;10,00   ;D˜¦ER G˜DERLER;D˜¦ER;EREN BEY TRAF˜K CEZASI;Nis.19;
118;M˜N˜A LTD;18.04.2019;59,32   ;10,68   ;70,00   ;MALZEME;ELEKTR˜K MALZEME;KAZAN KURULUMU ˜€˜N ELK MALZ(PABU€,KONTAKT™R9;Nis.19;
119;SENON˜ LTD;20.04.2019;30,00   ;0,00   ;30,00   ;MALZEME;HIRDAVAT;24' LšK LOKMA 1 AD- SIVI CONTA 1 AD;Nis.19;
120;SAK KABLO;20.04.2019;17,36   ;3,13   ;20,49   ;MALZEME;ELEKTR˜K MALZEME;ER˜YEN ˜ZOLE BANT;Nis.19;
121;BS METAL GRUP;20.04.2019;11,44   ;2,06   ;13,50   ;MALZEME;HIRDAVAT;€EL˜K žER˜T METRE 50 MT 1 AD;Nis.19;
122;žOTA TSETSHLADZE;23.04.2019;18,00   ;0,00   ;18,00   ;MALZEME;HIRDAVAT;27' L˜K LOKMA 1 AD;Nis.19;
123;G˜ORG˜ CHAVL˜žV˜L˜;23.04.2019;20,00   ;0,00   ;20,00   ;MALZEME;HIRDAVAT;A€IK A¦IZ ANAHTAR (24-26 VE 24-27 1' ER AD);Nis.19;
124;BS METAL GRUP;20.04.2019;41,71   ;7,51   ;49,22   ;MALZEME;HIRDAVAT;PORTAL VE BUHAR KAZANINA C˜VATA, SOMUN, PUL;Nis.19;
125;BS METAL GRUP;20.04.2019;10,34   ;1,86   ;12,20   ;MALZEME;HIRDAVAT;5'L˜K METRE 1AD.- MAKET BI€A¦I VE UCU;Nis.19;
126;BS METAL GRUP;22.04.2019;6,86   ;1,24   ;8,10   ;MALZEME;HIRDAVAT;TAžLAMA TAžI 3 AD;Nis.19;
127;KHEV˜ LTD;22.04.2019;72,88   ;13,12   ;86,00   ;MALZEME;HIRDAVAT;OKS˜JEN GAZI 2AD.-MUTFAK TšPš 1 AD;Nis.19;
128;META LTD.;22.04.2019;466,10   ;83,90   ;550,00   ;MALZEME;HIRDAVAT;PORTAL KURULUM €Ež˜TL˜ C˜VATA, SOMUN;Nis.19;
129;SAK KABLO;22.04.2019;33,81   ;6,09   ;39,90   ;MALZEME;ELEKTR˜K MALZEME;3 X 1 TTR KABLO 42 MT;Nis.19;
130;BS METAL GRUP;22.04.2019;44,41   ;7,99   ;52,40   ;MALZEME;HIRDAVAT;M16 - M18 C˜VATA,  SOMUN, PUL;Nis.19;
